timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
399209399406,0,35,24,9,-8,-3,-4,0
399209406345,-2,7,-11,1,-3,0,-2,0
399209406345,1,-30,3,-5,5,-1,3,2
399209414457,0,-8,-5,-10,3,-2,1,-2
399209414457,-5,29,-1,5,-11,0,-3,-1
399209428746,-2,5,6,4,-5,1,-3,1
399209428746,-1,-27,-6,0,6,-2,4,-2
399209436868,-3,-5,-16,-9,7,2,0,-2
399209436868,0,25,-13,19,-13,-1,-3,-1
399209443841,-3,6,-14,-7,0,2,-4,1
399209443841,0,-23,-18,-14,10,2,4,-4
399209459498,0,-4,2,7,4,-1,1,-3
399209459498,-2,22,-3,1,-15,2,-4,2
399209466239,1,3,16,7,-6,-2,-3,0
399209466239,-2,-20,-9,2,18,0,2,-4
399209474548,1,-5,-40,-13,2,2,1,-2
399209474548,-3,25,20,1,-12,-3,-4,0
399209488793,1,5,7,-7,-8,-1,-1,-1
399209488793,-1,-21,41,15,5,1,3,-2
399209496958,-1,-4,-19,-2,3,-1,1,-2
399209496958,-1,19,14,-4,-7,-1,-4,2
399209511178,-2,5,-32,5,-7,-4,-4,0
399209511178,-1,-18,-1,-6,4,-1,4,-2
399209526813,0,-4,12,-3,6,1,3,-2
399209526813,-1,20,-7,0,-5,-1,-4,0
399209534973,0,5,11,11,-8,-2,-3,2
399209534973,0,-17,-19,-13,8,-2,3,-4
399209535785,-4,-4,-4,-2,0,-4,1,-3
399209535785,1,21,-5,-1,-9,-3,-6,2
399209548806,-2,5,15,1,-6,0,-4,0
399209548806,-1,-21,-2,-3,9,2,5,0
399209557629,-2,-5,24,5,5,-3,1,-3
399209557629,-1,14,9,-1,-10,-2,-6,-1
399209571179,-1,5,7,4,-9,-4,-7,0
399209571179,2,-14,-11,-6,3,3,5,0
399209580255,-2,-4,-8,-14,5,0,4,-4
399209580255,-2,17,11,5,-4,0,-7,2
399209602628,-2,4,9,0,-6,2,-3,4
399209602628,-1,-22,-14,-2,7,-1,4,-5
399209604142,1,-5,-2,1,10,1,4,-3
399209604142,-3,13,-1,-1,-8,-3,-4,0
399209608837,2,6,11,3,-4,-3,-4,1
399209608837,0,-12,3,-6,-1,-2,2,-1
399209617669,0,-2,-3,-4,10,-4,2,0
399209617669,0,9,-11,1,-8,-4,-7,0
399209631195,-3,3,21,8,-10,0,-3,1
399209631195,-1,-15,-28,-10,9,1,2,-2
399209647680,0,-5,7,12,4,-1,1,0
399209647680,-3,11,-13,-1,-8,-2,-2,1
399209653783,-2,4,14,3,-10,-2,-4,1
399209653783,2,-14,3,-2,4,-2,1,-1
399209662687,-2,-4,-8,-15,4,0,6,-3
399209662687,0,11,-32,1,-1,4,0,-1
399209668680,-1,6,15,-4,-12,-2,-7,0
399209668680,-1,-11,-31,-6,5,-2,2,-2
399209685200,-1,-7,2,1,10,2,3,-2
399209685200,0,6,7,2,-11,-3,-6,-1
399209691199,-2,6,-14,-2,-8,-1,-3,2
399209691199,1,-10,-3,-15,4,-2,1,-2
399209707683,0,-7,21,8,7,-4,2,-4
399209707683,0,8,-21,1,-5,-3,-3,-2
399209713847,1,6,17,12,-5,3,-2,2
399209713847,0,-8,-7,-1,6,1,3,-1
399209722656,-3,-8,-15,-13,-1,-3,4,-2
399209722656,-3,9,15,0,-4,0,-4,0
399209728738,2,6,-2,-10,-12,-3,-6,1
399209728738,0,-5,7,12,8,3,4,-1
399209737634,2,-9,-25,-5,8,2,4,-4
399209737634,-4,7,8,-10,-11,-2,-4,2
399209751832,-1,7,1,-4,-11,-1,-4,1
399209751832,-1,-5,5,14,7,2,2,-3
399209760141,-2,-7,5,-2,6,0,4,-1
399209760141,-1,6,-5,-8,-8,-4,-5,0
399209773753,-2,8,1,15,-6,0,-5,0
399209773753,0,-4,-1,-9,3,-1,2,-1
399209782690,-1,-7,-5,-7,9,-1,2,-3
399209782690,-4,6,21,6,-4,2,-4,1
399209788696,-2,7,-13,2,-7,-1,-5,0
399209788696,-1,-3,30,1,0,-6,1,-3
399209803874,0,-8,-3,-7,7,0,4,-3
399209803874,1,4,1,0,-5,1,-2,1
399209811323,-3,8,-1,10,-8,-2,-5,-1
399209811323,-2,-2,-6,-15,-2,-2,2,-4
399209820204,2,-6,1,-1,19,4,4,1
399209820204,-3,3,8,-2,-4,-2,-5,0
399209833813,-4,5,7,13,-13,-1,-6,0
399209833813,-1,-2,-15,-15,1,0,3,-1
399209842627,-1,-5,2,13,9,2,3,-3
399209842627,-2,3,5,-1,-9,-2,-5,-1
399209848797,-2,5,-8,-3,-8,1,-5,-1
399209848797,0,-2,-4,-4,3,-2,1,0
399209857656,3,-4,5,-5,5,2,6,-2
399209857656,-2,1,-13,-1,-7,-4,-5,0
399209871183,-2,5,9,7,-6,0,-5,0
399209871183,-2,-1,-12,1,5,0,0,0
399209880261,1,-4,5,-7,4,0,3,-2
399209880261,1,1,-1,7,-5,1,-1,0
399209893858,-2,4,-1,-3,-11,-3,-5,1
399209893858,0,0,-8,-5,8,3,1,-4
399209902620,2,-5,-9,-11,5,-5,0,-5
399209902620,-1,0,-3,-1,-6,-2,-2,0
399209908669,1,5,12,5,-9,-3,-5,3
399209908669,1,-1,-9,1,6,2,3,-1
399209917649,-2,-4,-12,-10,6,-3,0,-5
399209917649,-1,0,4,0,-6,0,-3,0
399209931139,0,4,-2,8,-14,-4,-4,1
399209931139,2,0,12,-7,12,7,6,1
399209940140,-3,-4,-18,-7,12,0,4,-6
399209940140,-1,1,18,9,-10,-6,-5,0
399209962492,-1,2,4,2,-8,1,-3,3
399209962492,0,0,-10,-3,-3,-2,0,-6
399209964403,0,-4,-3,-7,6,0,3,-3
399209964403,-4,-1,-2,2,-1,-2,-1,0
399209968693,-5,3,-7,-1,-15,-1,-7,-1
399209968693,1,0,22,3,10,0,-2,-1
399209977758,-2,-2,-13,-4,7,-1,2,-2
399209977758,-2,-2,-18,-3,-5,-3,-2,0
399209991239,-2,2,11,3,-8,-2,-5,1
399209991239,0,1,10,3,4,1,3,-2
399210007735,1,-3,-13,-2,4,-1,2,-4
399210007735,-1,-2,-3,-2,-7,-2,-3,-1
399210013665,-1,1,-1,-6,-4,-2,-5,1
399210013665,1,0,-6,1,5,-3,0,-1
399210022799,-1,-3,2,-3,0,-1,3,-3
399210022799,-1,-1,19,8,4,7,1,1
399210028621,-3,3,-31,-9,-8,-5,-4,0
399210028621,-1,-1,-7,-8,-2,0,2,-3
399210037747,2,-2,5,3,6,-2,1,-1
399210037747,-1,1,7,1,-5,-3,-4,0
399210051177,0,1,14,0,-17,-8,-6,1
