timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
395802782155,1,-5,2,3,-1,0,1,2
395802798357,-5,10,-3,-1,-1,-3,1,-3
395802798357,-3,-4,-3,2,-1,2,2,-1
395802801054,1,-6,6,1,0,-1,0,-2
395802801054,3,-3,-2,-2,0,-1,0,0
395802812186,2,1,-2,-4,-2,0,-1,-1
395802812186,-3,3,1,4,4,0,-3,0
395802821053,1,-8,4,0,-1,-1,-1,1
395802821053,-4,0,-1,-3,-1,0,-2,0
395802835406,3,1,1,-3,2,2,1,-2
395802835406,-1,3,-1,5,0,-1,1,0
395802842020,0,12,-2,-5,2,1,-1,-3
395802842020,-3,-1,7,2,0,-3,-1,-3
395802858904,-3,-22,-6,-3,-2,0,0,-3
395802858904,-3,-3,-1,-3,-2,-2,-1,-3
395802864603,-1,-3,-1,-2,-2,-1,0,1
395802864603,-1,2,-4,-4,-1,-2,-1,-1
395802872194,3,5,2,2,-1,-1,-1,-2
395802872194,-3,-1,-1,-3,-1,-2,1,-1
395802880972,-1,-4,-2,-2,0,1,1,0
395802880972,-1,-9,-6,-1,-1,-2,-2,1
395802895347,-1,0,8,3,0,1,0,0
395802895347,-4,5,-3,-3,-2,0,1,1
395802901963,-3,0,-1,-1,-2,-3,-2,-4
395802901963,1,-6,-5,1,0,-1,0,1
395802918547,-1,17,-1,4,1,-4,-3,-1
395802918547,3,-3,3,-1,-1,0,1,-1
395802920053,-1,-16,-4,-5,0,0,-1,1
395802920053,-2,0,-2,-1,0,-1,-2,-3
395802932024,0,-5,-1,-1,-2,-3,-2,-2
395802932024,-2,2,0,-9,-4,-2,-2,-1
395802940932,3,10,2,7,1,2,1,3
395802940932,-8,-16,-4,0,-3,-2,-2,-2
395802955192,5,-3,-5,-2,-1,0,-1,4
395802955192,-2,0,-3,-3,0,1,-3,-3
395802961985,0,0,10,0,-3,-3,-2,-3
395802961985,1,3,-5,-6,-3,1,1,-1
395802978366,0,0,1,6,1,-2,0,1
395802978366,-1,3,-7,-2,-1,0,0,-2
395802979956,3,-2,8,3,0,-1,-1,0
395802979956,-3,7,2,1,0,-1,-2,-2
395802992188,0,1,-2,-4,-4,-3,-2,-1
395802992188,-3,-17,-6,-3,-2,-3,-2,-4
395803000952,-2,3,-5,-4,-2,-2,-1,-1
395803000952,3,2,2,1,0,0,0,2
395803015341,-2,-4,-5,-4,-2,2,0,-1
395803015341,6,7,3,0,-4,-1,-2,-2
395803022022,-2,-6,-4,-1,-1,-2,-1,-1
395803022022,10,19,0,-4,-1,-4,-2,1
395803037872,-12,-33,-6,0,-3,-3,-1,-4
395803037872,2,9,10,1,2,1,-1,0
395803044486,-2,1,-12,-4,-2,-1,-1,-2
395803044486,0,4,-6,-2,-2,1,-1,1
395803052122,3,5,18,2,-2,-1,-2,-1
395803052122,-4,-5,2,1,2,1,0,-1
395803060995,-3,-6,-5,-2,-3,-3,-2,-1
395803060995,-2,-4,1,0,1,0,-2,-3
395803075144,-3,4,-5,-4,-3,-2,0,-2
395803075144,-3,-6,-13,-3,-1,0,0,0
395803082127,5,22,15,5,3,0,0,1
395803082127,-5,-26,-7,-3,-3,-1,-1,-1
395803097645,-3,1,-7,-5,-2,0,-2,-2
395803097645,-4,6,6,0,-2,-3,-2,-3
395803104628,0,-3,-10,-7,-2,0,-1,-1
395803104628,-1,5,1,2,1,1,0,2
395803112042,-3,2,-1,-1,0,2,1,-2
395803112042,-2,-1,0,0,-3,-3,-3,-1
395803120963,0,-2,-3,0,0,0,0,-2
395803120963,1,2,-1,-4,-2,-2,-1,1
395803135349,5,-3,1,3,2,1,1,1
395803135349,-2,1,-6,-2,-1,-1,0,-2
395803142170,-3,-14,9,0,-1,-2,-1,-2
395803142170,-4,5,-7,-5,-4,-1,-2,-2
395803157744,0,3,-1,0,0,-1,-1,0
395803157744,-4,-3,3,-2,2,-1,-2,-3
395803164660,-4,-7,-8,-7,-3,0,-2,-2
395803164660,0,-4,1,3,0,-2,-3,1
395803181016,3,3,0,-3,-1,-3,-1,-1
395803181016,-9,3,5,4,-1,-1,2,1
395803182468,2,-6,1,4,2,2,-2,-3
395803182468,-8,-15,-6,-7,-1,0,-1,-3
395803195176,0,10,4,9,1,-1,-1,0
395803195176,0,-2,-2,-7,-4,-3,-1,-2
395803201963,-2,-1,1,3,-2,-2,0,1
395803201963,3,0,2,3,-1,-2,-1,0
395803217834,-1,-1,-2,-5,-2,0,0,-1
395803217834,-1,-1,0,7,3,1,-1,-2
395803224531,-2,-3,-5,-3,-2,0,-1,-1
395803224531,1,-2,-1,-2,-3,0,-1,-2
395803241003,-3,3,-13,-7,-1,0,-2,-3
395803241003,5,15,22,4,0,-1,-2,1
395803242398,-2,-12,-9,-3,-2,-3,-2,0
395803242398,1,-3,1,1,1,0,0,-1
395803255155,-2,-3,-10,-5,-2,-1,0,1
395803255155,-2,-7,-8,-4,-2,0,-1,-5
395803262138,0,6,0,-1,0,-2,-1,2
395803262138,2,-7,-5,-1,-3,-2,0,1
395803277260,1,10,8,9,1,1,1,-1
395803277260,1,-9,-4,-8,-4,-3,-4,-1
